"match_num","date","team1","team2","id_team1","id_team2","winner","margin","margin_type","ground","series_id","match_id","url"
1,"2019-05-30","England","South Africa",1,3,"England",104,"runs","The Oval",1144415,1144483,"https://stats.espncricinfo.com/ci/engine/match/1144483.html"
2,"2019-05-31","Pakistan","West Indies",7,4,"West Indies",7,"wickets","Nottingham",1144415,1144484,"https://stats.espncricinfo.com/ci/engine/match/1144484.html"
3,"2019-06-01","New Zealand","Sri Lanka",5,8,"New Zealand",10,"wickets","Cardiff",1144415,1144485,"https://stats.espncricinfo.com/ci/engine/match/1144485.html"
4,"2019-06-01","Afghanistan","Australia",40,2,"Australia",7,"wickets","Bristol",1144415,1144486,"https://stats.espncricinfo.com/ci/engine/match/1144486.html"
5,"2019-06-02","Bangladesh","South Africa",25,3,"Bangladesh",21,"runs","The Oval",1144415,1144487,"https://stats.espncricinfo.com/ci/engine/match/1144487.html"
6,"2019-06-03","England","Pakistan",1,7,"Pakistan",14,"runs","Nottingham",1144415,1144488,"https://stats.espncricinfo.com/ci/engine/match/1144488.html"
7,"2019-06-04","Afghanistan","Sri Lanka",40,8,"Sri Lanka",34,"runs","Cardiff",1144415,1144489,"https://stats.espncricinfo.com/ci/engine/match/1144489.html"
8,"2019-06-05","India","South Africa",6,3,"India",6,"wickets","Southampton",1144415,1144490,"https://stats.espncricinfo.com/ci/engine/match/1144490.html"
9,"2019-06-05","Bangladesh","New Zealand",25,5,"New Zealand",2,"wickets","The Oval",1144415,1144491,"https://stats.espncricinfo.com/ci/engine/match/1144491.html"
10,"2019-06-06","Australia","West Indies",2,4,"Australia",15,"runs","Nottingham",1144415,1144492,"https://stats.espncricinfo.com/ci/engine/match/1144492.html"
11,"2019-06-07","Pakistan","Sri Lanka",7,8,"abandoned",NULL,NULL,"Bristol",1144415,1144493,"https://stats.espncricinfo.com/ci/engine/match/1144493.html"
12,"2019-06-08","England","Bangladesh",1,25,"England",106,"runs","Cardiff",1144415,1144494,"https://stats.espncricinfo.com/ci/engine/match/1144494.html"
13,"2019-06-08","Afghanistan","New Zealand",40,5,"New Zealand",7,"wickets","Taunton",1144415,1144495,"https://stats.espncricinfo.com/ci/engine/match/1144495.html"
14,"2019-06-09","Australia","India",2,6,"India",36,"runs","The Oval",1144415,1144496,"https://stats.espncricinfo.com/ci/engine/match/1144496.html"
15,"2019-06-10","South Africa","West Indies",3,4,"no result",NULL,NULL,"Southampton",1144415,1144497,"https://stats.espncricinfo.com/ci/engine/match/1144497.html"
16,"2019-06-11","Bangladesh","Sri Lanka",25,8,"abandoned",NULL,NULL,"Bristol",1144415,1144498,"https://stats.espncricinfo.com/ci/engine/match/1144498.html"
17,"2019-06-12","Australia","Pakistan",2,7,"Australia",41,"runs","Taunton",1144415,1144499,"https://stats.espncricinfo.com/ci/engine/match/1144499.html"
18,"2019-06-13","India","New Zealand",6,5,"abandoned",NULL,NULL,"Nottingham",1144415,1144500,"https://stats.espncricinfo.com/ci/engine/match/1144500.html"
19,"2019-06-14","England","West Indies",1,4,"England",8,"wickets","Southampton",1144415,1144501,"https://stats.espncricinfo.com/ci/engine/match/1144501.html"
20,"2019-06-15","Australia","Sri Lanka",2,8,"Australia",87,"runs","The Oval",1144415,1144502,"https://stats.espncricinfo.com/ci/engine/match/1144502.html"
21,"2019-06-15","Afghanistan","South Africa",40,3,"South Africa",9,"wickets","Cardiff",1144415,1144503,"https://stats.espncricinfo.com/ci/engine/match/1144503.html"
22,"2019-06-16","India","Pakistan",6,7,"India",89,"runs","Manchester",1144415,1144504,"https://stats.espncricinfo.com/ci/engine/match/1144504.html"
23,"2019-06-17","Bangladesh","West Indies",25,4,"Bangladesh",7,"wickets","Taunton",1144415,1144505,"https://stats.espncricinfo.com/ci/engine/match/1144505.html"
24,"2019-06-18","England","Afghanistan",1,40,"England",150,"runs","Manchester",1144415,1144506,"https://stats.espncricinfo.com/ci/engine/match/1144506.html"
25,"2019-06-19","New Zealand","South Africa",5,3,"New Zealand",4,"wickets","Birmingham",1144415,1144507,"https://stats.espncricinfo.com/ci/engine/match/1144507.html"
26,"2019-06-20","Australia","Bangladesh",2,25,"Australia",48,"runs","Nottingham",1144415,1144508,"https://stats.espncricinfo.com/ci/engine/match/1144508.html"
27,"2019-06-21","England","Sri Lanka",1,8,"Sri Lanka",20,"runs","Leeds",1144415,1144509,"https://stats.espncricinfo.com/ci/engine/match/1144509.html"
28,"2019-06-22","Afghanistan","India",40,6,"India",11,"runs","Southampton",1144415,1144510,"https://stats.espncricinfo.com/ci/engine/match/1144510.html"
29,"2019-06-22","New Zealand","West Indies",5,4,"New Zealand",5,"runs","Manchester",1144415,1144511,"https://stats.espncricinfo.com/ci/engine/match/1144511.html"
30,"2019-06-23","Pakistan","South Africa",7,3,"Pakistan",49,"runs","Lords",1144415,1144512,"https://stats.espncricinfo.com/ci/engine/match/1144512.html"
31,"2019-06-24","Afghanistan","Bangladesh",40,25,"Bangladesh",62,"runs","Southampton",1144415,1144513,"https://stats.espncricinfo.com/ci/engine/match/1144513.html"
32,"2019-06-25","England","Australia",1,2,"Australia",64,"runs","Lords",1144415,1144514,"https://stats.espncricinfo.com/ci/engine/match/1144514.html"
33,"2019-06-26","New Zealand","Pakistan",5,7,"Pakistan",6,"wickets","Birmingham",1144415,1144515,"https://stats.espncricinfo.com/ci/engine/match/1144515.html"
34,"2019-06-27","India","West Indies",6,4,"India",125,"runs","Manchester",1144415,1144516,"https://stats.espncricinfo.com/ci/engine/match/1144516.html"
35,"2019-06-28","South Africa","Sri Lanka",3,8,"South Africa",9,"wickets","Chester-le-Street",1144415,1144517,"https://stats.espncricinfo.com/ci/engine/match/1144517.html"
36,"2019-06-29","Afghanistan","Pakistan",40,7,"Pakistan",3,"wickets","Leeds",1144415,1144518,"https://stats.espncricinfo.com/ci/engine/match/1144518.html"
37,"2019-06-29","Australia","New Zealand",2,5,"Australia",86,"runs","Lords",1144415,1144519,"https://stats.espncricinfo.com/ci/engine/match/1144519.html"
38,"2019-06-30","England","India",1,6,"England",31,"runs","Birmingham",1144415,1144520,"https://stats.espncricinfo.com/ci/engine/match/1144520.html"
39,"2019-07-01","Sri Lanka","West Indies",8,4,"Sri Lanka",23,"runs","Chester-le-Street",1144415,1144521,"https://stats.espncricinfo.com/ci/engine/match/1144521.html"
40,"2019-07-02","Bangladesh","India",25,6,"India",28,"runs","Birmingham",1144415,1144522,"https://stats.espncricinfo.com/ci/engine/match/1144522.html"
41,"2019-07-03","England","New Zealand",1,5,"England",119,"runs","Chester-le-Street",1144415,1144523,"https://stats.espncricinfo.com/ci/engine/match/1144523.html"
42,"2019-07-04","Afghanistan","West Indies",40,4,"West Indies",23,"runs","Leeds",1144415,1144524,"https://stats.espncricinfo.com/ci/engine/match/1144524.html"
43,"2019-07-05","Bangladesh","Pakistan",25,7,"Pakistan",94,"runs","Lords",1144415,1144525,"https://stats.espncricinfo.com/ci/engine/match/1144525.html"
44,"2019-07-06","India","Sri Lanka",6,8,"India",7,"wickets","Leeds",1144415,1144526,"https://stats.espncricinfo.com/ci/engine/match/1144526.html"
45,"2019-07-06","Australia","South Africa",2,3,"South Africa",10,"runs","Manchester",1144415,1144527,"https://stats.espncricinfo.com/ci/engine/match/1144527.html"
46,"2010-07-09","India","New Zealand",6,5,"New Zealand",18,"runs","Manchester",1144415,1144528,"https://stats.espncricinfo.com/ci/engine/match/1144528.html"
47,"2019-07-11","England","Australia",1,2,"England",8,"wickets","Birmingham",1144415,1144529,"https://stats.espncricinfo.com/ci/engine/match/1144529.html"
48,"2019-07-14","England","New Zealand",1,5,"tied",NULL,NULL,"Lords",1144415,1144530,"https://stats.espncricinfo.com/ci/engine/match/1144530.html"
